Driver,NumVoltas,MediaTempo,DesvioPadrao,MelhorVolta,PiorVolta,MedianaTempo,RangeTempo,Year,GrandPrix,RaceDate,VoltasCompletadasDadosBrutos,Concluiu,NumParadasBox,VoltaPrimeiroPit,DuracaoMediaStint,PropVoltasMacios,PropVoltasMedios,PropVoltasDuros
ALB,60,81.56755,1.5684166087091014,79.132,89.605,81.4535,10.472999999999999,2024,Espanha,2024-06-23,65.0,True,2,19.0,21.666666666666668,0.7230769230769231,0.27692307692307694,0.0
ALO,60,80.90278333333335,1.288998022268636,78.334,83.536,81.0715,5.201999999999998,2024,Espanha,2024-06-23,65.0,True,2,20.0,21.666666666666668,0.2923076923076923,0.4,0.3076923076923077
BOT,60,81.56311666666667,0.9949201499629281,79.608,84.249,81.5095,4.640999999999991,2024,Espanha,2024-06-23,65.0,True,2,12.0,21.666666666666668,0.4307692307692308,0.0,0.5692307692307692
GAS,61,80.39932786885247,0.8949138640359318,79.045,82.534,80.419,3.4890000000000043,2024,Espanha,2024-06-23,66.0,True,2,15.0,22.0,0.21212121212121213,0.36363636363636365,0.42424242424242425
HAM,61,79.83500000000001,1.051148197607419,77.809,81.977,79.915,4.168000000000006,2024,Espanha,2024-06-23,66.0,True,2,17.0,22.0,0.5909090909090909,0.4090909090909091,0.0
HUL,61,80.5672786885246,1.012016965127019,78.609,82.174,80.972,3.565000000000012,2024,Espanha,2024-06-23,66.0,True,2,13.0,22.0,0.18181818181818182,0.3939393939393939,0.42424242424242425
LEC,61,79.87601639344263,1.18113103269428,77.897,81.723,79.675,3.8259999999999934,2024,Espanha,2024-06-23,66.0,True,2,25.0,22.0,0.6515151515151515,0.3484848484848485,0.0
MAG,60,81.41498333333334,0.8430313843337924,79.805,83.892,81.25550000000001,4.086999999999989,2024,Espanha,2024-06-23,65.0,True,2,11.0,21.666666666666668,0.15384615384615385,0.2923076923076923,0.5538461538461539
NOR,61,79.59873770491804,1.2686959827796904,77.115,81.66,79.682,4.545000000000002,2024,Espanha,2024-06-23,66.0,True,2,24.0,22.0,0.6363636363636364,0.36363636363636365,0.0
OCO,61,80.59660655737704,0.9994341779008183,78.982,83.348,80.662,4.366,2024,Espanha,2024-06-23,66.0,True,2,14.0,22.0,0.19696969696969696,0.36363636363636365,0.4393939393939394
PER,59,80.07250847457628,1.209138555890416,77.785,82.234,79.688,4.448999999999998,2024,Espanha,2024-06-23,66.0,True,3,14.0,16.5,0.7272727272727273,0.2727272727272727,0.0
PIA,61,79.98116393442622,1.2950081232734598,77.874,82.316,79.853,4.442000000000007,2024,Espanha,2024-06-23,66.0,True,2,22.0,22.0,0.6212121212121212,0.3787878787878788,0.0
RIC,60,81.33328333333334,1.0341523031730793,79.45,83.762,81.2625,4.311999999999998,2024,Espanha,2024-06-23,65.0,True,2,17.0,21.666666666666668,0.24615384615384617,0.4,0.35384615384615387
RUS,61,79.84675409836066,0.9509879188811504,78.29,82.129,79.857,3.8389999999999986,2024,Espanha,2024-06-23,66.0,True,2,16.0,22.0,0.22727272727272727,0.3181818181818182,0.45454545454545453
SAI,61,79.98940983606558,0.8793843372316247,78.539,81.788,80.0,3.2489999999999952,2024,Espanha,2024-06-23,66.0,True,2,16.0,22.0,0.22727272727272727,0.3181818181818182,0.45454545454545453
SAR,59,82.05369491525423,1.0613100599021759,80.172,85.203,82.152,5.031000000000006,2024,Espanha,2024-06-23,64.0,True,2,15.0,21.333333333333332,0.21875,0.3125,0.46875
STR,60,81.0616,1.0132997983597656,79.318,83.904,81.253,4.5859999999999985,2024,Espanha,2024-06-23,65.0,True,2,18.0,21.666666666666668,0.26153846153846155,0.3076923076923077,0.4307692307692308
TSU,58,81.31286206896552,1.3179358322142405,79.447,84.313,81.4335,4.866,2024,Espanha,2024-06-23,65.0,True,3,10.0,16.25,0.46153846153846156,0.27692307692307694,0.26153846153846155
VER,61,79.57422950819672,1.0650232453400945,77.776,81.376,79.792,3.6000000000000085,2024,Espanha,2024-06-23,66.0,True,2,18.0,22.0,0.5909090909090909,0.4090909090909091,0.0
ZHO,60,80.88173333333334,1.1369156292454636,78.771,83.016,81.2285,4.2450000000000045,2024,Espanha,2024-06-23,65.0,True,2,10.0,21.666666666666668,0.13846153846153847,0.49230769230769234,0.36923076923076925
