Driver,NumVoltas,MediaTempo,DesvioPadrao,MelhorVolta,PiorVolta,MedianaTempo,RangeTempo,Year,GrandPrix,RaceDate,VoltasCompletadasDadosBrutos,Concluiu,NumParadasBox,VoltaPrimeiroPit,DuracaoMediaStint,PropVoltasMacios,PropVoltasMedios,PropVoltasDuros
ALB,66,76.47821212121212,1.1089957274683881,74.434,80.078,76.453,5.6440000000000055,2024,Holanda,2024-08-25,71.0,True,2,13.0,23.666666666666668,0.0,0.4084507042253521,0.5915492957746479
ALO,68,76.41975,0.9427818375868128,74.758,78.446,76.35300000000001,3.6880000000000024,2024,Holanda,2024-08-25,71.0,True,1,32.0,35.5,0.0,0.43661971830985913,0.5633802816901409
BOT,65,77.01363076923077,0.718040422983605,75.822,78.697,76.882,2.875,2024,Holanda,2024-08-25,70.0,True,2,16.0,23.333333333333332,0.21428571428571427,0.38571428571428573,0.4
GAS,68,76.34560294117648,0.9777242711720788,74.855,79.464,76.3825,4.608999999999995,2024,Holanda,2024-08-25,71.0,True,1,33.0,35.5,0.0,0.4507042253521127,0.5492957746478874
HAM,67,75.53776119402984,1.189285755726654,73.878,77.871,75.262,3.992999999999995,2024,Holanda,2024-08-25,72.0,True,2,24.0,24.0,0.6527777777777778,0.0,0.3472222222222222
HUL,68,76.49642647058823,0.6195296558783385,75.657,78.585,76.3175,2.9279999999999973,2024,Holanda,2024-08-25,71.0,True,1,15.0,35.5,0.0,0.19718309859154928,0.8028169014084507
LEC,69,75.57173913043478,0.7113984498687701,74.585,76.806,75.277,2.2210000000000036,2024,Holanda,2024-08-25,72.0,True,1,25.0,36.0,0.0,0.3333333333333333,0.6666666666666666
MAG,68,77.07835294117648,1.164000163675247,74.954,83.466,76.97,8.512,2024,Holanda,2024-08-25,71.0,True,1,41.0,35.5,0.0,0.43661971830985913,0.5633802816901409
NOR,69,75.22101449275362,0.7265552181912794,73.817,76.496,74.892,2.679000000000002,2024,Holanda,2024-08-25,72.0,True,1,29.0,36.0,0.0,0.3888888888888889,0.6111111111111112
OCO,68,76.87457352941176,1.0505167359081697,75.39,79.487,77.1695,4.096999999999994,2024,Holanda,2024-08-25,71.0,True,1,31.0,35.5,0.0,0.4225352112676056,0.5774647887323944
PER,69,75.71608695652174,0.8016958998627758,74.587,77.107,75.314,2.519999999999996,2024,Holanda,2024-08-25,72.0,True,1,30.0,36.0,0.0,0.4027777777777778,0.5972222222222222
PIA,69,75.59642028985508,0.8296279890230883,74.237,76.954,75.305,2.7169999999999987,2024,Holanda,2024-08-25,72.0,True,1,34.0,36.0,0.0,0.4583333333333333,0.5416666666666666
RIC,68,76.48663235294119,0.9190840655428012,75.222,79.111,76.2375,3.88900000000001,2024,Holanda,2024-08-25,71.0,True,1,30.0,35.5,0.0,0.4084507042253521,0.5915492957746479
RUS,67,75.53892537313433,0.9371985384149175,73.927,77.452,75.454,3.5249999999999915,2024,Holanda,2024-08-25,72.0,True,2,26.0,24.0,0.25,0.3472222222222222,0.4027777777777778
SAI,69,75.61726086956523,0.9139053183707173,74.117,77.855,75.143,3.7379999999999995,2024,Holanda,2024-08-25,72.0,True,1,31.0,36.0,0.0,0.4166666666666667,0.5833333333333334
SAR,68,77.07935294117647,0.8798465056891023,75.539,79.422,76.919,3.8829999999999956,2024,Holanda,2024-08-25,71.0,True,1,23.0,35.5,0.0,0.30985915492957744,0.6901408450704225
STR,68,76.54157352941176,0.9027102693188113,75.255,78.37,76.2835,3.115000000000009,2024,Holanda,2024-08-25,71.0,True,1,31.0,35.5,0.0,0.4225352112676056,0.5774647887323944
TSU,66,76.83322727272729,0.7274539117403179,75.552,78.781,76.8125,3.228999999999999,2024,Holanda,2024-08-25,71.0,True,2,15.0,23.666666666666668,0.19718309859154928,0.2535211267605634,0.5492957746478874
VER,69,75.56573913043478,0.6410617491633707,74.752,76.901,75.232,2.149000000000001,2024,Holanda,2024-08-25,72.0,True,1,28.0,36.0,0.0,0.375,0.625
ZHO,65,77.42073846153846,1.0939225046381644,75.724,81.195,77.537,5.470999999999989,2024,Holanda,2024-08-25,70.0,True,2,19.0,23.333333333333332,0.2714285714285714,0.2571428571428571,0.4714285714285714
